c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti
0.01,0.01,0.01,0.01,18.10,1.00,0.01,0.00,0.01,0.01,0.00,0.08,1.80
0.02,0.21,0.19,4.98,12.26,2.97,0.01,0.00,0.01,0.01,0.00,0.23,0.14
0.01,0.08,0.05,4.65,12.11,3.13,0.01,0.00,0.01,0.01,0.00,0.57,0.20
0.01,2.50,0.02,0.01,18.00,0.02,0.01,0.00,0.01,0.01,0.00,0.05,0.04
0.01,0.05,0.12,4.80,12.16,2.99,0.01,0.00,0.01,0.01,0.00,0.40,0.19
0.01,0.01,0.01,0.01,17.40,1.44,0.01,0.00,0.01,0.01,0.00,0.08,1.90
0.01,0.01,0.01,0.01,17.10,2.00,0.01,0.00,0.01,0.01,0.00,0.07,1.82
0.02,0.01,0.01,0.01,17.80,0.64,0.01,0.00,0.01,0.01,0.00,0.08,2.03
0.01,0.06,0.03,4.67,12.14,3.17,0.01,0.00,0.01,0.01,0.00,0.47,0.19
0.01,0.10,0.18,4.87,12.08,2.97,0.01,0.00,0.01,0.01,0.00,0.25,0.15
0.01,0.02,0.03,5.00,12.16,3.00,0.01,0.00,0.01,0.01,0.00,0.31,0.21
0.02,0.01,0.01,0.01,17.90,0.30,0.01,0.00,0.01,0.01,0.00,0.10,1.95
0.02,0.08,0.04,4.73,12.08,3.15,0.01,0.00,0.01,0.01,0.00,0.38,0.23
0.01,0.05,0.06,4.86,11.60,2.95,0.01,0.00,0.01,0.01,0.00,0.58,0.22
0.01,0.03,0.11,4.77,12.21,3.03,0.01,0.00,0.01,0.01,0.00,0.26,0.20
0.37,0.18,0.01,7.41,0.01,6.85,0.96,0.00,0.01,4.88,0.00,0.03,0.00
0.00,0.04,0.06,5.01,11.83,2.98,0.01,0.00,0.01,0.01,0.00,0.39,0.20
0.01,0.04,1.87,0.01,16.70,0.02,0.01,0.00,0.01,0.01,0.00,0.05,0.08
0.01,0.08,0.04,4.70,12.20,3.13,0.01,0.00,0.01,0.01,0.00,0.26,0.19
0.36,0.21,0.01,7.72,0.01,5.71,1.15,0.00,0.01,4.93,0.00,0.03,0.00
0.37,0.23,0.01,7.19,0.01,5.71,1.10,0.00,0.78,4.99,0.00,0.03,0.00
0.00,0.05,0.06,4.81,11.50,2.95,0.01,0.00,0.01,0.01,0.00,0.66,0.20
0.35,0.23,0.01,7.15,0.01,5.78,1.02,0.00,0.01,4.90,1.54,0.03,0.00
0.01,0.07,0.04,4.57,12.05,3.12,0.01,0.00,0.01,0.01,0.00,0.34,0.18
0.01,1.72,0.02,0.01,18.10,0.02,0.01,0.00,0.01,0.01,0.00,0.05,0.06
0.36,0.17,0.01,7.11,0.01,0.25,1.08,0.00,0.01,5.03,9.18,0.03,0.00
0.01,0.05,0.11,4.62,12.08,2.79,0.01,0.00,0.01,0.01,0.00,0.21,0.20
0.43,0.21,0.01,7.14,0.01,5.62,1.02,0.00,0.01,4.99,0.00,0.03,0.00
0.02,0.01,0.01,0.01,15.70,2.00,0.01,0.00,0.01,0.01,0.00,0.10,1.98
0.39,0.22,0.01,6.99,0.01,5.75,1.08,0.00,0.01,4.90,0.00,0.03,0.00
0.02,0.07,0.11,4.70,10.20,3.10,0.01,0.00,0.01,0.01,0.00,0.70,0.22
0.40,0.14,0.01,7.41,0.01,5.75,0.56,0.00,0.01,4.83,0.00,0.03,0.00
0.02,0.07,0.10,4.83,10.20,3.20,0.01,0.00,0.01,0.01,0.00,0.52,0.24
0.36,0.23,0.01,6.55,0.01,5.75,0.86,0.00,0.41,5.10,0.00,0.03,0.00
0.02,0.01,0.01,0.01,15.30,1.40,0.01,0.00,0.01,0.01,0.00,0.12,2.10
0.38,0.19,0.01,7.39,0.01,5.75,0.06,0.00,0.01,4.88,0.00,0.03,0.00
0.11,0.68,0.25,11.90,2.38,1.76,0.33,0.02,0.01,0.01,0.00,0.03,0.00
0.32,0.23,0.01,6.61,0.01,5.75,0.92,0.00,0.01,4.90,0.00,0.03,0.00
0.01,0.06,0.08,4.72,10.10,3.13,0.01,0.00,0.01,0.01,0.00,0.25,0.23
0.38,0.18,0.01,7.27,0.01,3.77,0.96,0.00,0.01,4.90,0.00,0.03,0.00
0.00,0.06,0.05,5.15,10.20,3.20,0.01,0.00,0.01,0.01,0.00,0.03,0.09
0.37,0.17,0.01,5.20,0.01,5.84,1.05,0.00,0.91,4.88,0.00,0.03,0.00
0.41,0.19,0.01,6.99,0.01,5.84,0.92,0.00,0.01,0.02,0.00,0.03,0.00
0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.00,0.01,3.90,0.00,0.03,0.00
